Match ID,Date,Opponent,Match,Patch,Side,Game #,Result,Duration (min),Team Kills,Opp Kills,Gold Diff @10,Tower Diff,First Turtle,First Lord,EXP Player,EXP Hero,Jungle Player,Jungle Hero,Mid Player,Mid Hero,Gold Player,Gold Hero,Roam Player,Roam Hero,Team Ban 1,Team Ban 2,Team Ban 3,Team Ban 4,Team Ban 5,Opp Ban 1,Opp Ban 2,Opp Ban 3,Opp Ban 4,Opp Ban 5,Opp Pick 1,Opp Pick 2,Opp Pick 3,Opp Pick 4,Opp Pick 5,Notes
001,2026-03-20,APBR,MPL PH S17 Regular Season,CSV Sample,Red,1,L,26,11,16,,,Yes,No,Jeymz,Lapu-Lapu,Raizen.,Baxia,Minguin,Yve,Netskie,Hanabi,Perkziva,Marcel,Freya,Zhuxin,Grock,Pharsa,Harley,Hilda,Valentina,Fanny,Phoveus,Karrie,Kalea,Sora,Claude,Suyou,Zetian,CSV sample | PH20260321M1G1
002,2026-03-20,APBR,MPL PH S17 Regular Season,CSV Sample,Blue,2,L,15,3,15,,,No,No,Jeymz,Sora,Raizen.,Fanny,Minguin,Yve,Netskie,Harith,Perkziva,Chou,Grock,Valentina,Zetian,Moskov,Phoveus,Freya,Zhuxin,Kalea,Khaleed,Hylos,Hilda,Pharsa,Leomord,Arlott,Claude,CSV sample | PH20260321M1G2
003,2026-03-27,TWIS,MPL PH S17 Regular Season,CSV Sample,Red,1,L,11,2,16,,,No,No,Jeymz,Cici,Raizen.,Fredrinn,Minguin,Kimmy,Netskie,Claude,Perkziva,Hilda,Freya,Zhuxin,Kalea,Suyou,Leomord,Fanny,Baxia,Marcel,Yve,Lapu-Lapu,Valentina,Karrie,Khaleed,Phoveus,Harley,CSV sample | PH20260327M1G1
004,2026-03-27,TWIS,MPL PH S17 Regular Season,CSV Sample,Blue,2,W,15,11,10,,,Yes,Yes,Jeymz,Lapu-Lapu,Raizen.,Suyou,Minguin,Kimmy,Netskie,Freya,Perkziva,Chip,Yi Sun shin,Kalea,Grock,Harley,Claude,Fanny,Baxia,Zhuxin,Hylos,Marcel,Valentina,Khaleed,Phoveus,Karrie,Leomord,CSV sample | PH20260327M1G2
005,2026-03-27,TWIS,MPL PH S17 Regular Season,CSV Sample,Red,3,L,22,7,18,,,Yes,Yes,Jeymz,Phoveus,Raizen.,Leomord,Minguin,Vexana,Netskie,Claude,Perkziva,Khaleed,Freya,Kalea,Zhuxin,Karrie,Yi Sun shin,Fanny,Baxia,Marcel,Guinevere,Yve,Valentina,Harley,Hilda,Gloo,Granger,CSV sample | PH20260327M1G3
006,2026-03-28,TNC,MPL PH S17 Regular Season,CSV Sample,Blue,1,W,16,14,4,,,Yes,Yes,Jeymz,Gloo,Raizen.,Leomord,Minguin,Valentina,Netskie,Karrie,Perkziva,Kalea,Grock,Fanny,Harley,Hylos,Gatotkaca,Zhuxin,Freya,Baxia,Fredrinn,Guinevere,Yve,Suyou,Phoveus,Chou,Moskov,CSV sample | PH20260328M2G1
007,2026-03-28,TNC,MPL PH S17 Regular Season,CSV Sample,Red,2,W,32,11,13,,,No,Yes,Jeymz,Lapu-Lapu,Raizen.,Fredrinn,Minguin,Yve,Netskie,Brody,Perkziva,Khaleed,Freya,Valentina,Zhuxin,Pharsa,Lylia,Baxia,Kalea,Phoveus,Arlott,Moskov,Sora,Hilda,Fanny,Yi Sun shin,Zetian,CSV sample | PH20260328M2G2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
