OPPONENT DASHBOARD,,,,,,,,,,,,,,,,,
,Type opponent:,,TWIS,,Data auto tarik dari SCRIM_INPUT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total Games vs Us,,,Opp Blue Side WR,,,Opp Red Side WR,,,Most Played Hero,,,,,,,,
3,,,100.0%,,,0.0%,,,Harley,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3 Team Sample: APBR / TWIS / TNC,,,,,,,,,Top Ban Hero,,,,,,,,
,,,,,,,,,Baxia,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Opponent Most Played,,,,,Opponent Top Bans,,,,,,,,,,,,
1,Harley,2,66.7%,,1,Baxia,3,100.0%,,,,,,0,0,,
2,Karrie,2,66.7%,,2,Fanny,3,100.0%,,,,,Hero,0,0,,
3,Khaleed,2,66.7%,,3,Marcel,3,100.0%,,,,,Aamon,0,0,,
4,Gloo,1,33.3%,,4,Guinevere,1,33.3%,,,,,Akai,0,0,,
5,Granger,1,33.3%,,5,Hylos,1,33.3%,,,,,Aldous,0,0,,
,,,,,,,,,,,,,Alice,0,0,,
,,,,,,,,,,,,,Alpha,0,0,,
,,,,,,,,,,,,,Alucard,0,0,,
,,,,,,,,,,,,,Angela,0,0,,
,,,,,,,,,,,,,Argus,0,0,,
,,,,,,,,,,,,,Arlott,0,0,,
,,,,,,,,,,,,,Atlas,0,0,,
,,,,,,,,,,,,,Aulus,0,0,,
,,,,,,,,,,,,,Aurora,0,0,,
,,,,,,,,,,,,,Badang,0,0,,
,,,,,,,,,,,,,Balmond,0,0,,
,,,,,,,,,,,,,Bane,0,0,,
,,,,,,,,,,,,,Barats,0,0,,
,,,,,,,,,,,,,Baxia,0,3,,1
,,,,,,,,,,,,,Beatrix,0,0,,
,,,,,,,,,,,,,Belerick,0,0,,
,,,,,,,,,,,,,Benedetta,0,0,,
,,,,,,,,,,,,,Brody,0,0,,
,,,,,,,,,,,,,Bruno,0,0,,
,,,,,,,,,,,,,Carmilla,0,0,,
,,,,,,,,,,,,,Cecilion,0,0,,
,,,,,,,,,,,,,Cici,0,0,,
,,,,,,,,,,,,,Chang'e,0,0,,
,,,,,,,,,,,,,Chip,0,0,,
,,,,,,,,,,,,,Chou,0,0,,
,,,,,,,,,,,,,Claude,0,0,,
,,,,,,,,,,,,,Clint,0,0,,
,,,,,,,,,,,,,Cyclops,0,0,,
,,,,,,,,,,,,,Diggie,0,0,,
,,,,,,,,,,,,,Dyrroth,0,0,,
,,,,,,,,,,,,,Edith,0,0,,
,,,,,,,,,,,,,Esmeralda,0,0,,
,,,,,,,,,,,,,Estes,0,0,,
,,,,,,,,,,,,,Eudora,0,0,,
,,,,,,,,,,,,,Fanny,0,3,,2
,,,,,,,,,,,,,Faramis,0,0,,
,,,,,,,,,,,,,Floryn,0,0,,
,,,,,,,,,,,,,Franco,0,0,,
,,,,,,,,,,,,,Fredrinn,0,0,,
,,,,,,,,,,,,,Freya,0,0,,
,,,,,,,,,,,,,Gatotkaca,0,0,,
,,,,,,,,,,,,,Gloo,1,0,4,
,,,,,,,,,,,,,Gord,0,0,,
,,,,,,,,,,,,,Granger,1,0,5,
,,,,,,,,,,,,,Grock,0,0,,
,,,,,,,,,,,,,Guinevere,0,1,,4
,,,,,,,,,,,,,Gusion,0,0,,
,,,,,,,,,,,,,Hanabi,0,0,,
,,,,,,,,,,,,,Hanzo,0,0,,
,,,,,,,,,,,,,Harith,0,0,,
,,,,,,,,,,,,,Harley,2,0,1,
,,,,,,,,,,,,,Hayabusa,0,0,,
,,,,,,,,,,,,,Helcurt,0,0,,
,,,,,,,,,,,,,Hilda,1,0,6,
,,,,,,,,,,,,,Hylos,0,1,,5
,,,,,,,,,,,,,Irithel,0,0,,
,,,,,,,,,,,,,Ixia,0,0,,
,,,,,,,,,,,,,Jawhead,0,0,,
,,,,,,,,,,,,,Johnson,0,0,,
,,,,,,,,,,,,,Joy,0,0,,
,,,,,,,,,,,,,Julian,0,0,,
,,,,,,,,,,,,,Kadita,0,0,,
,,,,,,,,,,,,,Kagura,0,0,,
,,,,,,,,,,,,,Kaja,0,0,,
,,,,,,,,,,,,,Kalea,0,0,,
,,,,,,,,,,,,,Karina,0,0,,
,,,,,,,,,,,,,Karrie,2,0,2,
,,,,,,,,,,,,,Khaleed,2,0,3,
,,,,,,,,,,,,,Khufra,0,0,,
,,,,,,,,,,,,,Kimmy,0,0,,
,,,,,,,,,,,,,Lancelot,0,0,,
,,,,,,,,,,,,,Lapu-Lapu,0,1,,6
,,,,,,,,,,,,,Layla,0,0,,
,,,,,,,,,,,,,Leomord,1,0,7,
,,,,,,,,,,,,,Lesley,0,0,,
,,,,,,,,,,,,,Ling,0,0,,
,,,,,,,,,,,,,Lolita,0,0,,
,,,,,,,,,,,,,Lukas,0,0,,
,,,,,,,,,,,,,Luo Yi,0,0,,
,,,,,,,,,,,,,Lunox,0,0,,
,,,,,,,,,,,,,Lylia,0,0,,
,,,,,,,,,,,,,Marcel,0,3,,3
,,,,,,,,,,,,,Martis,0,0,,
,,,,,,,,,,,,,Masha,0,0,,
,,,,,,,,,,,,,Mathilda,0,0,,
,,,,,,,,,,,,,Melissa,0,0,,
,,,,,,,,,,,,,Miya,0,0,,
,,,,,,,,,,,,,Minotaur,0,0,,
,,,,,,,,,,,,,Minsitthar,0,0,,
,,,,,,,,,,,,,Moskov,0,0,,
,,,,,,,,,,,,,Nana,0,0,,
,,,,,,,,,,,,,Natalia,0,0,,
,,,,,,,,,,,,,Natan,0,0,,
,,,,,,,,,,,,,Nolan,0,0,,
,,,,,,,,,,,,,Novaria,0,0,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
